2014-03-19 12:59:47,873| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|maxmar 0.08000000
2014-03-19 12:59:47,873| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|minmar 0.08000000
2014-03-19 12:59:47,873| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|Number of stdev 2.807033768343867752292908335221000015735626220703125
2014-03-19 12:59:47,874| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|Standard deviation 0.019730123855624150108756253985120565630495548248291015625
2014-03-19 12:59:47,874| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|normMar 0.05750000
2014-03-19 12:59:47,874| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|STATINSTRID	15063	HP	1	Period	3283	Iteration	1	Default Confidence	0.99000000	Stressed Confidence	0.995	Considered days	3283	MathMargin	0.08000000
2014-03-19 12:59:47,875| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|INSTRID 15063 HP 1 HP2USE 1 Periodo 3283 Iteration 2
2014-03-19 12:59:47,876| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|Days 3283
2014-03-19 12:59:47,876| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|eventIn 3250
2014-03-19 12:59:47,877| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|eventOut 33
2014-03-19 12:59:47,877| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|maxmar 0.07000000
2014-03-19 12:59:47,877| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|minmar 0.07000000
2014-03-19 12:59:47,878| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|Number of stdev 2.57582930354894035218649150920100510120391845703125
2014-03-19 12:59:47,878| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|Standard deviation 0.019730123855624150108756253985120565630495548248291015625
2014-03-19 12:59:47,878| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|normMar 0.05250000
2014-03-19 12:59:47,879| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|STATINSTRID	15063	HP	1	Period	3283	Iteration	2	Default Confidence	0.99000000	Stressed Confidence	0.99	Considered days	3283	MathMargin	0.07000000
2014-03-19 12:59:47,993| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|Hp 1 Period 3030 1th - 0.13373403 Date 2008-10-13 00:00:00.0
2014-03-19 12:59:47,993| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|Hp 1 Period 3030 2th - 0.12048193 Date 2008-11-04 00:00:00.0
2014-03-19 12:59:47,994| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|Hp 1 Period 3030 3th - -0.11885246 Date 2008-10-06 00:00:00.0
2014-03-19 12:59:47,994| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|Hp 1 Period 3030 4th - -0.10618182 Date 2009-06-22 00:00:00.0
2014-03-19 12:59:47,994| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|Hp 1 Period 3030 5th - 0.09936766 Date 2012-08-07 00:00:00.0
2014-03-19 12:59:47,995| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|Hp 1 Period 3030 6th - 0.09655172 Date 2012-05-10 00:00:00.0
2014-03-19 12:59:47,995| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|Hp 1 Period 3030 7th - 0.09355509 Date 2012-08-16 00:00:00.0
2014-03-19 12:59:47,996| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|Hp 1 Period 3030 8th - 0.09084621 Date 2012-05-07 00:00:00.0
2014-03-19 12:59:47,996| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|Hp 1 Period 3030 9th - -0.09061865 Date 2012-08-02 00:00:00.0
2014-03-19 12:59:47,996| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|Hp 1 Period 3030 10th - 0.08586643 Date 2012-04-20 00:00:00.0
2014-03-19 12:59:47,997| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|Hp 1 Period 3030 11th - -0.08357477 Date 2013-02-26 00:00:00.0
2014-03-19 12:59:47,997| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|Hp 1 Period 3030 12th - -0.08168761 Date 2012-04-10 00:00:00.0
2014-03-19 12:59:47,997| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|Hp 1 Period 3030 13th - -0.08006814 Date 2011-06-20 00:00:00.0
2014-03-19 12:59:47,998| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|Hp 1 Period 3030 14th - -0.07994390 Date 2012-06-18 00:00:00.0
2014-03-19 12:59:47,998| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|Hp 1 Period 3030 15th - 0.07972270 Date 2009-03-25 00:00:00.0
2014-03-19 12:59:47,998| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|Hp 1 Period 3030 16th - -0.07894737 Date 2009-03-02 00:00:00.0
2014-03-19 12:59:47,999| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|Hp 1 Period 3030 17th - -0.07780508 Date 2013-06-24 00:00:00.0
2014-03-19 12:59:47,999| INFO|WebContainer : 0|it.ccg.pamp.server.bus.sensitivity.EqDerSensitivityUnit.calcMargin4DerivativeSensitivity|Hp 1 Period 3030 18th - 0.07629830 Date 2012-10-17 00:00:00.0
